Label,ImageSource
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\007_an_001_0039.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\008_an_002_0019.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\014_an_002_0018.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\015_an_003_0024.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\016_an_000_0034.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\018_an_000_0028.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\019_an_002_0023.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\020_an_003_0012.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\021_an_001_0023.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\025_an_003_0024.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\029_an_002_0010.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\030_an_003_0024.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\084_an_003_0015.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\085_an_007_0015.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\087_di_000_0016.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\088_an_001_0054.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\102_an_000_0048.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S010_004_01595013.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S011_004_03142515.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S014_003_02410710.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S026_003_01384302.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S035_004_02502303.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S037_003_00234705.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S042_004_01440005.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S044_005_00045102.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S050_005_00013112.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S052_003_00120011.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S053_003_00023703.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S055_004_01070017.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S057_005_01273322.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S067_004_00021628.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S071_004_00242417.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S072_005_00014122.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S073_006_00115121.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S092_003_00014313.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S100_005_00534419.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S105_007_00351003.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S106_005_00460214.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S108_007_01113016.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S109_003_01204711.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S110_006_01285401.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S113_008_01551314.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S117_006_02334512.png
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S130_007_00544725.png
