label,leftEyebrow,rightEyebrow,leftLip,rightLip,lipHeight,eye,openmouth,mouthline
anger, 6.78151025432985, 5.905332177222547, 5.079836499089839, 5.126368382481282, 2.8079557305298426, 0.7882049025004804,4.463052293155846,0.9838878711699535,1.5903520068895922
anger, 5.781756782434308, 5.815308579739196, 5.230190616920324, 5.002231244439807, 2.6762216205243843, 0.5481019981862868,4.396040802735532,0.9231295682282027,1.589329971006332
disgust, 6.145637746965635, 5.806006708701555, 6.3554501642494206, 6.45317504114014, 4.116765125926037, 1.7735010917529708,4.428212731852071,1.388066182461865,1.8015378046375996
disgust, 5.374092471552044, 5.902758828428016, 5.992276622602346, 6.009187883152986, 3.2589499408522884, 1.3906697178521374,4.374010113260577,1.2197560731756085,1.684354232436832
fear, 5.429356044132337, 5.207103752667653, 5.5064093957761004, 5.644570104433124, 2.7917604208256313, 1.3553141170032772,4.523535367838619,1.113036543370476,1.4406376409163018
fear, 5.546923564654053, 5.241631528846536, 5.423560808872281, 5.6817111672728, 2.6778163934337758, 1.0356695732559458,4.483208652864228,1.025304031702032,1.3698909836879511
joy, 6.030609095854214, 5.676211347978629, 6.833559590993273, 7.308972393247238, 5.306890815605251, 1.8771268338113418,4.493624012703979,1.608945580917186,1.787125003243747
joy, 6.0174218543425955, 6.125616994892861, 6.668388904414973, 7.047642573910316, 5.050990001969911, 2,4.448504456224718,1.7407407407407407,1.9090148346544114
neutral, 6.197962731069662, 5.971489639895147, 5.43395379454349, 5.448276652609704, 3.1506024923749747, 1.150726897337001,4.443881203071727,1.0913346122775802,1.6815428055498773
neutral, 6.0573532651559985, 6.14485730352302, 5.317725746735978, 5.251458903142841, 2.7096774193548385, 0.8393297955650121,4.434222982732427,1.0243759156905483,1.5555509479969543
sadness, 5.45405580900698, 5.341331517899529, 5.62967107209905, 5.624076346518457, 3.111925582014147, 0.8217113013641417,4.445681484288228,1,1.457737973711325
sadness, 5.210417072590438, 5.390800798568143, 5.837966846816139, 5.789095844358019, 3.357553117866808, 0.8402798864306679,4.461958951828636,0.9145777169412493,1.452108478165947
surprise, 5.782803216948087, 5.639236402800164, 5.876411581583202, 6.171012508041788, 3.042652125820973, 2.2487109709626614,4.510674396322532,1.5290552405887285,1.5558839281213401
surprise, 5.025307464563759, 4.917434251885011, 5.795697622550803, 5.975517084198939, 2.6778163934337758, 1.891987799747901,4.44889804286352,1.3178415104910608,1.4751616983401243
